Month,Sales
1/1/20,266
1/2/20,145.9
1/3/20,183.1
1/4/20,119.3
1/5/20,180.3
1/6/20,168.5
1/7/20,231.8
1/8/20,224.5
1/9/20,192.8
1/10/20,122.9
1/11/20,336.5
1/12/20,185.9
1/13/20,194.3
1/14/20,149.5
1/15/20,210.1
1/16/20,273.3
1/17/20,191.4
1/18/20,287
1/19/20,226
1/20/20,303.6
1/21/20,289.9
1/22/20,421.6
1/23/20,264.5
1/24/20,342.3
1/25/20,339.7
1/26/20,440.4
1/27/20,315.9
1/28/20,439.3
1/29/20,401.3
1/30/20,437.4
1/31/20,575.5
2/1/20,407.6
2/2/20,682
2/3/20,475.3
2/4/20,581.3
2/5/20,646.9